MSISDN*,User Type* (Subscriber/Channel User),MFS Id*,Wallet Id*,Grade Code,Transfer Profile ID,Web Group Role Code,Mobile Group Role Code
1111113224,Channel User,101,12,,,G1,
1111113225,Channel User,101,12,,,G1,
1111113226,Channel User,101,12,p1,TCP1906141250.003454,G1,
1111113227,Channel User,101,12,,,G1,
1111113228,Channel User,101,12,,,G1,
1111113229,Channel User,101,12,p1,TCP1906141250.003454,G1,
1111113230,Channel User,101,12,p1,TCP1906141250.003454,G1,
1111113231,Channel User,101,12,,,G1,
1111113232,Channel User,101,12,,,G1,
1111113233,Channel User,101,12,p1,TCP1906141250.003454,G1,
